Temperature,Vibration,Pressure,Humidity,Fault
74.96714153,33.23527672,37.00637766,15.75091461,1
68.61735699,28.63924336,35.88306596,23.61129543,0
76.47688538,27.06506173,35.86551116,29.80257862,1
85.23029856,26.59592061,42.13301083,56.81374255,1
67.65846625,27.17157976,26.41255243,34.4796505,0
67.65863043,25.64794758,36.64244175,18.39976658,0
85.79212816,34.50321095,45.51312724,45.13781475,1
77.67434729,30.36188056,36.94038924,19.58194579,1
65.30525614,28.10460323,38.30451425,42.86026933,1
75.42560044,23.72278409,43.3739277,30.71574952,1
65.36582307,29.4650084,27.26982274,28.00579196,0
65.34270246,23.85794389,30.36218099,42.28098797,0
72.41962272,35.72317231,35.88775294,21.35807172,1
50.86719755,14.35758005,21.0622394,7.217926366,0
52.75082167,27.1426066,33.31376528,21.41723273,0
64.37712471,23.52154756,32.70488494,39.8177673,0
59.8716888,17.69800106,29.15928596,11.17694739,0
73.14247333,23.18043649,27.53088847,1.700394366,0
60.91975924,19.72017919,34.53501765,24.0368834,0
55.87696299,21.67776678,23.28389473,29.72348218,0
84.65648769,32.24394813,44.84387224,51.45649331,1
67.742237,20.84128293,36.03914792,26.24188244,0
70.67528205,24.61457576,43.53008505,30.30576632,1
55.75251814,30.22473314,24.58947779,37.38769019,0
64.55617275,31.23237631,20.19919222,8.186240306,0
71.1092259,27.06984741,38.33236886,29.45228649,1
58.49006423,20.66153987,39.45539278,31.46260377,0
73.75698018,26.4150997,44.66839279,40.29421505,1
63.9936131,25.46535445,34.93849386,25.20168767,0
67.0830625,18.36510905,31.40221901,29.2906078,0
63.98293388,21.10714417,37.04936206,5.393340179,0
88.52278185,22.64005328,39.49553149,30.79287878,1
69.86502775,26.44887533,39.1108264,37.70192328,1
59.42289071,24.03399145,34.0744499,18.86021602,0
78.22544912,24.96297488,45.49509662,37.53917971,1
57.7915635,28.09698104,45.42389998,36.75833303,1
72.08863595,19.10219427,38.22240487,28.92871758,0
50.40329876,10.31928017,22.20052235,22.51351113,0
56.71813951,20.97360792,29.5900128,16.57525425,0
71.96861236,30.42450584,29.6253972,29.37733533,1
77.3846658,35.50427149,38.45038825,42.30908534,1
71.71368281,22.80536767,34.78581861,33.35470105,0
68.84351718,29.48863518,34.25686778,26.04592221,0
66.98896304,23.25359472,35.55752667,33.14470201,0
55.2147801,18.46203653,24.42695869,31.04718602,0
